"CaseNumber","Subject","Priority","Owner","Classification","RelatedObject","WorkbookTheme","DevWorkBucket","DevReadiness","ProposedDryRunAction","TargetApiNames","TargetFieldCount","CandidateActiveFlows","CandidateValidationRules","CandidateTriggers","CandidateApexClasses","CandidateUiBundles","RequiredTestData","ProductionWriteRequiredEventually"
"00010415","Entity","Medium","Terry Mascia","Administrative (Reports & Dashboards)","Opportunity","Validation Rules/Access","Access / validation","Buildable in Dev after exact persona and acceptance criteria are confirmed","Compare profile, permission sets, object/field/Apex access and validation bypasses; implement least privilege; test as target persona.","Opportunity; OpportunityLineItem","736","Auto_Create_Return_Opportunity_for_Exchange_Purchasing_Ops; AvaTax_Opportunity_Automatic_Tax_Calculation_Flow; AvaTax_Opportunity_Existing_Update_Entity_Use_Code_IOR_Transport; AvaTax_Opportunity_New_Update_Entity_Code_IOR_Transport; AvaTax_Opportunity_Update_AvaTax_Message_and_Status; Big_Iron_Purchasing_Opportunity_Updates_Alerts; Cloned_Opportunity_Update_FSR_Attached_and_FSR_Not_Required_to_False; Convert_PRR_to_Purchasing_Opportunity_Screen_Flow","Account_MUST_Match_Bill_To_Account; Account_on_Credit_Hold; Accounting_Contact_Email_Required; Actual_Removal_Date_Not_Future; Bill_and_Ship_Address_Req_for_Closed_Won; Billing_and_Shipping_State_Length; BIPO_Stage_Closed_Lost; Business_Line_Must_Be_Filled_Out","P_OppLineItemTrigger; P_OpportunityTrigger; ProcessTemplateFolder","BeforeUpdateOpportunityTest; OpportunityAlertController; OpportunityAlertControllerTest; OpportunityLineItemServices; OpportunityLineItemServicesTest","OpportunityAlert","Opportunity, OpportunityLineItem records with required parents, record types, owners, products and statuses","Yes - production assignment/deployment after approval"
"00009455","Notification - Financial Information","Medium","Ben Rice","Other","OTHER","Email Alerts","Clarification / cross-object","Blocked until target object and acceptance criteria are confirmed","Confirm exact object, record type, affected persona, example record, expected result, and success criteria before building.","","0","","","","","","Exact production example must be converted to sanitized test data","Only controlled metadata deployment after approval"
"00009584","Pricing request fulfilment emails","Medium","Katy Base","Other","OTHER","Email Alerts","Clarification / cross-object","Blocked until target object and acceptance criteria are confirmed","Confirm exact object, record type, affected persona, example record, expected result, and success criteria before building.","","0","","","","","","Exact production example must be converted to sanitized test data","Only controlled metadata deployment after approval"
"00009763","Request for customer refund","Medium","Krystie Green","Other","OTHER","New/Edit Workflows, New/Edit Fields","Clarification / cross-object","Blocked until target object and acceptance criteria are confirmed","Confirm exact object, record type, affected persona, example record, expected result, and success criteria before building.","","0","","","","","","Exact production example must be converted to sanitized test data","Only controlled metadata deployment after approval"
"00010086","Notify the Opp owner when items are checked in?","Medium","Keith Fairburn","Salesforce Idea","OTHER","New/Edit Workflows","Clarification / cross-object","Blocked until target object and acceptance criteria are confirmed","Confirm exact object, record type, affected persona, example record, expected result, and success criteria before building.","","0","","","","","","Exact production example must be converted to sanitized test data","Only controlled metadata deployment after approval"
"00010381","customer number to show on search screen","Medium","Krystie Green","Other","OTHER","Search Layout","Clarification / cross-object","Blocked until target object and acceptance criteria are confirmed","Confirm exact object, record type, affected persona, example record, expected result, and success criteria before building.","","0","","","","","","Exact production example must be converted to sanitized test data","Only controlled metadata deployment after approval"
"00010489","Emails with Subject: New Service Contract Ready for Approval","Medium","Krystie Green","Other","OTHER","New/Edit Workflows","Clarification / cross-object","Blocked until target object and acceptance criteria are confirmed","Confirm exact object, record type, affected persona, example record, expected result, and success criteria before building.","","0","","","","","","Exact production example must be converted to sanitized test data","Only controlled metadata deployment after approval"
"00009343","Add status to SA","Medium","Harriet Langley","Salesforce Improvement","Field Service Lightning","Data","Data correction / migration","Rehearse in Dev; final production data action requires separate approval","Create an idempotent query/update script, synthetic records, dry-run diff, rollback file, and production read-back plan.","ServiceAppointment; WorkOrder; WorkOrderLineItem","1220","Add_Coverage_Level_to_Service_Appointment_On_Creation; Assigned_Resource_Trigger_Dispatch_Tech_Call; Assigned_Resource_Trigger_Send_New_Resource_Dispatch_Email; Auto_Create_RMAs_from_Service_Appointments_for_UK; Auto_Create_RMAs_from_Work_Orders_for_UK; Contract_Line_Item_Cancel_Work_Orders_on_Decommissioning; Contract_Line_Item_Edit_Multiple_Work_Orders_Screen_Flow; Create_and_Dispatch_Service_Appointment_from_FSL_App","Asset_must_be_purchasing_approved; Cant_submit_to_shipping_without_location; Cant_Update_US_FSL_Completed_WO; Dont_allow_scheduled_or_dispatched; isDueDateExist; isDurationExist; isEarliestStartTimeExist; Related_Service_with_time_dependency","CalculateTravelTimeOnServiceChange; P_ServiceWorkOrderTrigger; P_WorkOrderLineItemTrigger; TR001_Service_AfterDelete; TR001_Service_AfterInsert; TR001_Service_AfterUpdate; TR001_Service_BeforeDelete; TR001_Service_BeforeInsert","ContentDocumentLinkToWorkOrderSync; ContentDocumentLinkToWorkOrderSync_Test; dlrs_Harvest_Work_OrderTest; EmailWorkOrderPDF; FslTechnicianOnlineController","fslEditModal; fslHello; fslQuickQuoteGlobalAction; fslWorkOrderCard; searchServiceAppointments","Work Order, Service Appointment, Service Resource, Assigned Resource, operating hours, mobile/dispatcher persona","Yes - data change after approval"
"00009797","Update Cycle Count Dates","Medium","Blake Nielsen","Other","Asset2","Data","Data correction / migration","Rehearse in Dev; final production data action requires separate approval","Create an idempotent query/update script, synthetic records, dry-run diff, rollback file, and production read-back plan.","ProductItem__c","419","Account_Engagement_Bulk_Asset_Copy_Flow; Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; Add_Product_Record_Type_Name_to_Asset_Record; Asset_Automations; Asset_Check_in_Type; Asset_Creation_After_Save_Update_Product_Analytics; Asset_Update_After_Save_Set_Product_Analytics_on_Product_Name_Change; Auto_Close_SWO_HWO_Scrap_Asset","Approved_Purchase_no_cost_edits; Cannot_Change_Asset_Owner; Cannot_change_cost_once_marked_sold; Cannot_move_without_verifying_numbers; Check_In_Type; Designated_For_Rental_Rule; GE_DISTRIBUTION_PRODUCTS; Generic_Assets_CANNOT_Have_Cost","dlrs_ProductItemTrigger; P_ProductItemTrigger","AddAssetServices; AddAssetServicesTest; dlrs_ProductItemTest; LoanerAssetTriggerHandler; LoanerAssetTriggerHandlerTest","addAssetMainLwc; addAssetSearchLwc; addAssetSelectionsLwc; addAsset; addAssetComponent","ProductItem__c records with required parents, record types, owners, products and statuses","Yes - data change after approval"
"00010166","Wrong amount","Medium","Gina Olson","Other","Product","Data","Data correction / migration","Rehearse in Dev; final production data action requires separate approval","Create an idempotent query/update script, synthetic records, dry-run diff, rollback file, and production read-back plan.","Product2; Product_Analytics__c","610","Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; Add_Product_Record_Type_Name_to_Asset_Record; Asset_Creation_After_Save_Update_Product_Analytics; Asset_Update_After_Save_Set_Product_Analytics_on_Product_Name_Change; Change_Contract_Line_Item_Product_UK; Delete_Select_Products_from_Opportunity_Screen_Flow; IR_Product_Before_Delete_Total_IR_Product_Cost_Roll_Up; IR_Product_on_create_Total_IR_Product_Cost_Roll_Up","Array_carriage_replacement; Array_drive_switch_or_board_replacement; Array_drive_system_replacement; Array_replacement; Bending_rubber_glue_beads_replacement; Cable_advanced_whitening; Cable_jacket_refurb; Cable_jacket_splice","P_ProductAnalyticsTrigger; UpdateProductFields","AddIRProductServices; AddIRProductServicesTest; addproduct; AddProductPortal; AddProductPortalTestClass","addItemReceiptProductSearchLwc; addItemReceiptProductSelectionsLwc; addProductLwc; addProductMainLwc; addProductSearchLwc","Product2, Product_Analytics__c records with required parents, record types, owners, products and statuses","Yes - data change after approval"
"00010216","Product Analytics page for parts are all in GBP instead of USD.","Medium","Richard Gerler","Salesforce Error","Product","Data","Data correction / migration","Rehearse in Dev; final production data action requires separate approval","Create an idempotent query/update script, synthetic records, dry-run diff, rollback file, and production read-back plan.","Product2; Product_Analytics__c","610","Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; Add_Product_Record_Type_Name_to_Asset_Record; Asset_Creation_After_Save_Update_Product_Analytics; Asset_Update_After_Save_Set_Product_Analytics_on_Product_Name_Change; Change_Contract_Line_Item_Product_UK; Delete_Select_Products_from_Opportunity_Screen_Flow; IR_Product_Before_Delete_Total_IR_Product_Cost_Roll_Up; IR_Product_on_create_Total_IR_Product_Cost_Roll_Up","Array_carriage_replacement; Array_drive_switch_or_board_replacement; Array_drive_system_replacement; Array_replacement; Bending_rubber_glue_beads_replacement; Cable_advanced_whitening; Cable_jacket_refurb; Cable_jacket_splice","P_ProductAnalyticsTrigger; UpdateProductFields","AddIRProductServices; AddIRProductServicesTest; addproduct; AddProductPortal; AddProductPortalTestClass","addItemReceiptProductSearchLwc; addItemReceiptProductSelectionsLwc; addProductLwc; addProductMainLwc; addProductSearchLwc","Product2, Product_Analytics__c records with required parents, record types, owners, products and statuses","Yes - data change after approval"
"00010341","Combine duplicate accounts","Medium","Julie Nickerson","Other","Account","Data","Data correction / migration","Rehearse in Dev; final production data action requires separate approval","Create an idempotent query/update script, synthetic records, dry-run diff, rollback file, and production read-back plan.","Account","252","Account_Created_by_EU_UK; Account_Engagement_Bulk_Asset_Copy_Flow; Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; AccountFieldUpdateFlow; AvaTax_Account_Update_AvaTax_Exemption_Message_Flow; Contact_Asynchronous_on_create_Update_Account_Number_of_Contacts; Contact_Asynchronous_on_delete_Update_Account_Number_of_Contacts; Contact_Asynchronous_on_update_Update_Account_Number_of_Contacts","Account_Name_Character_Limit; Account_named_unknown; Billing_and_Shipping_State_Length; Cant_Do_Business_in_Country_List; Cant_Edit_Trisonics_Accounts; Must_include_RGBP_Category; Shipping_Account_Preference_Control; Validate_AvaTax_Exemption_Customer_ID","AccountTrigger; LogAccountChange; P_AccountTrigger","P_AccountTriggerHandler; P_AccountTriggerHandlerTest; UpdateAccountBatch; UpdateAccountBatchTestClass","","Account records with required parents, record types, owners, products and statuses","Yes - data change after approval"
"00010377","Add No Budget to Reasons for Unqualified UK","Medium","Brian Gill","Administrative (Reports & Dashboards)","Lead","Data","Data correction / migration","Rehearse in Dev; final production data action requires separate approval","Create an idempotent query/update script, synthetic records, dry-run diff, rollback file, and production read-back plan.","Lead","194","Create_NEW_Lead_from_Existing_Contact; FSL_Mobile_Create_Lead_Autolaunched; FSL_Mobile_Create_Lead_US; Lead_Assignment_Flow_New_Simpler_Logic; Lead_Check_for_existing; Lead_Check_for_existing_Account_Account_Name; Lead_Check_for_existing_contact_Email; Lead_Check_for_existing_contact_Phone","Convert_Unknown; Lead_Source_and_Detail_Change; Modality_Field_Must_Be_Filled_Out; Product_Type_Needed; Unqualified_Reason_Required","LeadTrigger; LeadTrigger; LogLeadChange","LeadConversionController; LeadConversionController_NoAssert_Test","leadSmartConvert","Lead records with required parents, record types, owners, products and statuses","Yes - data change after approval"
"00010414","new bin","Medium","Tyler Turley","Other","OTHER","Data","Data correction / migration","Rehearse in Dev; final production data action requires separate approval","Create an idempotent query/update script, synthetic records, dry-run diff, rollback file, and production read-back plan.","","0","","","","","","Exact production example must be converted to sanitized test data","Yes - data change after approval"
"00010517","Update Account Bill / Ship address","Medium","Matt Ehlke","Other","Account","Data","Data correction / migration","Rehearse in Dev; final production data action requires separate approval","Create an idempotent query/update script, synthetic records, dry-run diff, rollback file, and production read-back plan.","Account","252","Account_Created_by_EU_UK; Account_Engagement_Bulk_Asset_Copy_Flow; Account_Engagement_Sandbox_Production_Bulk_Asset_Copy_Flow; AccountFieldUpdateFlow; AvaTax_Account_Update_AvaTax_Exemption_Message_Flow; Contact_Asynchronous_on_create_Update_Account_Number_of_Contacts; Contact_Asynchronous_on_delete_Update_Account_Number_of_Contacts; Contact_Asynchronous_on_update_Update_Account_Number_of_Contacts","Account_Name_Character_Limit; Account_named_unknown; Billing_and_Shipping_State_Length; Cant_Do_Business_in_Country_List; Cant_Edit_Trisonics_Accounts; Must_include_RGBP_Category; Shipping_Account_Preference_Control; Validate_AvaTax_Exemption_Customer_ID","AccountTrigger; LogAccountChange; P_AccountTrigger","P_AccountTriggerHandler; P_AccountTriggerHandlerTest; UpdateAccountBatch; UpdateAccountBatchTestClass","","Account records with required parents, record types, owners, products and statuses","Yes - data change after approval"
"00008361","FSL - No calendar appointment generated in coordinator mailbox for some time after dispatch (long delay)","High","Tom Meredith","Other","Field Service Lightning","New/Edit Workflows, Dashboards/Reports/Notifications, New/Edit Fields","Defect investigation","Reproducible in Dev after sanitized records and exact steps are created","Create a minimal reproduction, trace active Flow/Apex/LWC/validation paths, add regression tests, and compare before/after behavior.","ServiceAppointment; WorkOrder; WorkOrderLineItem","1220","Add_Coverage_Level_to_Service_Appointment_On_Creation; Assigned_Resource_Trigger_Dispatch_Tech_Call; Assigned_Resource_Trigger_Send_New_Resource_Dispatch_Email; Auto_Create_RMAs_from_Service_Appointments_for_UK; Auto_Create_RMAs_from_Work_Orders_for_UK; Contract_Line_Item_Cancel_Work_Orders_on_Decommissioning; Contract_Line_Item_Edit_Multiple_Work_Orders_Screen_Flow; Create_and_Dispatch_Service_Appointment_from_FSL_App","Asset_must_be_purchasing_approved; Cant_submit_to_shipping_without_location; Cant_Update_US_FSL_Completed_WO; Dont_allow_scheduled_or_dispatched; isDueDateExist; isDurationExist; isEarliestStartTimeExist; Related_Service_with_time_dependency","CalculateTravelTimeOnServiceChange; P_ServiceWorkOrderTrigger; P_WorkOrderLineItemTrigger; TR001_Service_AfterDelete; TR001_Service_AfterInsert; TR001_Service_AfterUpdate; TR001_Service_BeforeDelete; TR001_Service_BeforeInsert","ContentDocumentLinkToWorkOrderSync; ContentDocumentLinkToWorkOrderSync_Test; dlrs_Harvest_Work_OrderTest; EmailWorkOrderPDF; FslTechnicianOnlineController","fslEditModal; fslHello; fslQuickQuoteGlobalAction; fslWorkOrderCard; searchServiceAppointments","Work Order, Service Appointment, Service Resource, Assigned Resource, operating hours, mobile/dispatcher persona","Only controlled metadata deployment after approval"
"00009704","00061816 reopened when RMA completed in stores","High","Tom Meredith","Salesforce Error","Work Order","BUG","Defect investigation","Reproducible in Dev after sanitized records and exact steps are created","Create a minimal reproduction, trace active Flow/Apex/LWC/validation paths, add regression tests, and compare before/after behavior.","WorkOrder; Work_Order__c","688","Auto_Create_RMAs_from_Work_Orders_for_UK; Contract_Line_Item_Cancel_Work_Orders_on_Decommissioning; Contract_Line_Item_Edit_Multiple_Work_Orders_Screen_Flow; Create_and_Dispatch_Service_Appointment_from_FSL_App; Create_Contract_Line_Items_Entitlements_and_Work_Orders_V4; Create_Field_Service_Work_Order_in_Salesforce; Create_FSL_Work_Order_on_SF_Objects; Create_Pricing_Request_from_Work_Order_Opportunity","Cant_submit_to_shipping_without_location; Cant_Update_US_FSL_Completed_WO; Must_give_reason_for_cancelling; Shipping_Account_Preference_Control; UK_Closed_Work_Order_Must_Have_End_Date","P_ServiceWorkOrderTrigger; TR022_WorkOrder_AfterInsert; TR022_WorkOrder_AfterUpdate; TR022_WorkOrder_BeforeInsert; TR022_WorkOrder_BeforeUpdate; UKBusinessHours; WorkOrderTrigger; WorkOrderUpdate","ContentDocumentLinkToWorkOrderSync; ContentDocumentLinkToWorkOrderSync_Test; dlrs_Harvest_Work_OrderTest; EmailWorkOrderPDF; FslTechnicianOnlineController","fslEditModal; fslHello; fslQuickQuoteGlobalAction; fslWorkOrderCard; workOrderProductHost","WorkOrder, Work_Order__c records with required parents, record types, owners, products and statuses","Only controlled metadata deployment after approval"
"00008310","FSL - calendar appointment not appearing","Medium","Tom Meredith","Other","Field Service Lightning","New/Edit Workflows, Dashboards/Reports/Notifications, New/Edit Fields","Defect investigation","Reproducible in Dev after sanitized records and exact steps are created","Create a minimal reproduction, trace active Flow/Apex/LWC/validation paths, add regression tests, and compare before/after behavior.","ServiceAppointment; WorkOrder; WorkOrderLineItem","1220","Add_Coverage_Level_to_Service_Appointment_On_Creation; Assigned_Resource_Trigger_Dispatch_Tech_Call; Assigned_Resource_Trigger_Send_New_Resource_Dispatch_Email; Auto_Create_RMAs_from_Service_Appointments_for_UK; Auto_Create_RMAs_from_Work_Orders_for_UK; Contract_Line_Item_Cancel_Work_Orders_on_Decommissioning; Contract_Line_Item_Edit_Multiple_Work_Orders_Screen_Flow; Create_and_Dispatch_Service_Appointment_from_FSL_App","Asset_must_be_purchasing_approved; Cant_submit_to_shipping_without_location; Cant_Update_US_FSL_Completed_WO; Dont_allow_scheduled_or_dispatched; isDueDateExist; isDurationExist; isEarliestStartTimeExist; Related_Service_with_time_dependency","CalculateTravelTimeOnServiceChange; P_ServiceWorkOrderTrigger; P_WorkOrderLineItemTrigger; TR001_Service_AfterDelete; TR001_Service_AfterInsert; TR001_Service_AfterUpdate; TR001_Service_BeforeDelete; TR001_Service_BeforeInsert","ContentDocumentLinkToWorkOrderSync; ContentDocumentLinkToWorkOrderSync_Test; dlrs_Harvest_Work_OrderTest; EmailWorkOrderPDF; FslTechnicianOnlineController","fslEditModal; fslHello; fslQuickQuoteGlobalAction; fslWorkOrderCard; searchServiceAppointments","Work Order, Service Appointment, Service Resource, Assigned Resource, operating hours, mobile/dispatcher persona","Only controlled metadata deployment after approval"
