"Sheet","WorkbookRow","CaseNumber","WorkbookSummary","WorkbookTheme","WorkbookProductArea","WorkbookStatus","WorkTypeOrSize","WorkbookAssignedTo","SalesforceCaseId","SalesforceSubject","SalesforceStatus","SalesforceIsClosed","SalesforcePriority","SalesforceClassification","SalesforceRelatedObject","SalesforceObjectOfIssue","SalesforceErrorType","SalesforceOwner","SalesforceCreatedDate","SalesforceLastModifiedDate","SalesforceClosedDate","SalesforceDescription","SalesforceResolutionNotes","SalesforceAssignedToId","HistoryCount","FeedItemCount","FeedCommentCount","FileCount","DryRunDisposition"
"Errors & Just do its","23","00009338","Change RMA type to Warranty Claim","Validation Rules/Access","RMA","?","JDI","Natalie Boger","500Ro00000mqSPeIAM","Change RMA Type","Closed","True","Medium","Other","Opportunity",,,"Preston Allred","17-12-2025 00:24:43","11-08-2026 06:53:10","11-08-2026 06:53:10","I am needing to change both RMA types to Warranty Claim on O-00505551. These parts came back as DOA, however I am unable to do so as the opportunity has synced to intacct.",,"0050B000006qIImQAM","3","2","0","0","Review - active workbook row but Salesforce closed"
"Errors & Just do its","30","00009343","Please could ''closed'' be added as a option to select in the status of an SA","Data","Service Appointment","?","JDI","Sacha Pearce","500Ro00000mxSe9IAE","Add status to SA","New","False","Medium","Salesforce Improvement","Field Service Lightning",,,"Harriet Langley","18-12-2025 15:51:06","18-02-2026 19:12:39",,"Please could ''closed'' be added as a option to select in the status of an SA",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","24","00009345","Submitting this case for Arin Grider - Please change Sales Force Permissions to allow Cathy Flinchum to Change Review Status for assets","Validation Rules/Access","Assets","Requirement Gathering","JDI","Natalie Boger","500Ro00000mxyxUIAQ","Change Sales Force Permissions to Allow Cathy Flinchum to Change Review Status","Closed","True","Medium","Other","Asset2",,,"David Barnett","18-12-2025 20:50:13","11-08-2026 06:53:20","11-08-2026 06:53:20","Submitting this case for Arin Grider - Please change Sales Force Permissions to allow Cathy Flinchum to Change Review Status for assets",,"0050B000006qIImQAM","3","2","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","55","00009347","For any Service Opps with NHS Supply chain as the account can we take off 5%, then 2% off the total and have another field with the discounted value in?","New/Edit Workflows, New/Edit Fields","Opportunity","Requirement Gathering","M","Sacha Pearce","500Ro00000n1f9lIAA","Service Opps","New","False","Medium","Salesforce Improvement","Opportunity",,,"Nicky Lloyd-Jones","19-12-2025 17:44:11","26-03-2026 21:55:07",,"For any Service Opps with NHS Supply chain as the account  can we take off 5%, then 2% off the total and have another field  with the discounted value in?",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","84","00009373","Expired Contract Stage on Service Sales Opp","New/Edit Workflows, New/Edit Fields","Opportunity","Design","S","Natalie Boger","500Ro00000nEvocIAC","Expired Contract Stage","On Hold","False","Medium","Salesforce Improvement","Opportunity",,,"Mindy Bender","24-12-2025 04:08:34","11-08-2026 06:56:26",,"Please create an Expired Contract Stage on the Service Sales Opportunity Record Type.

Closed Won/Closed Lost is not a good status for a contract that has expired.  The team is currently putting it back into Pending status again which isn't right either.",,"0050B000006qIImQAM","3","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","25","00009377","Unhandled fault message when 2nd PR is being made","BUG","Purchase Return","?","BUG","Natalie Boger","500Ro00000nLJReIAO","Error when trying to create 2nd Purch ret.","Closed","True","Medium","Salesforce Error","Purchasing Return",,,"Chris Wildman","26-12-2025 22:45:50","11-08-2026 06:48:58","11-08-2026 06:48:58","Unhandled fault message when 2nd PR is being made",,"0050B000006qIImQAM","3","3","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","41","00009386","Multiple Warranties being created on same opportunity","New Fields","Opportunities","Design","M","Natalie Boger","500Ro00000nSQ51IAG","Warranty Contract Duplication","In progress","False","Medium","Salesforce Improvement","Opportunity",,,"Mindy Bender","30-12-2025 04:05:31","01-01-2026 04:34:42",,"Duplicate contracts are being created when opportunities are being modified after ""Closed Won"" with a ship date.  The Create Warranty Service Contract flow needs to verify if a current warranty contract exists and modify lines if so.

Example: ""Alta Medical Solutions - Warranty Contract - Alta Medical Solutions-Mindray M6"" was created 3 times.",,"0050B000006qIImQAM","3","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","99","00009390","Pricing Review and Pricing Review Notes fields on Product Page editable pencil and accessible to all users","Validation Rules/Access","Products/Assets","Not Yet Started","S","Natalie Boger","500Ro00000nU9OEIA0","Pricing Review & Review Notes Fields","On Hold","False","Medium","Salesforce Improvement","Product",,,"Richard Gerler","30-12-2025 19:11:11","11-08-2026 06:54:13",,"The newly added Pricing Review and Pricing Review Notes fields on the Product page needs to be configured to enter information and click the box while on the product page, not in edit mode. Needs to be accessible to all users.",,"0050B000006qIImQAM","3","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","26","00009393","Cannot Create Credit Memo, CM-014269","BUG","Credit Memo","?","BUG","Natalie Boger","500Ro00000nTrL2IAK","CM-0014269","Closed","True","Medium","Salesforce Error","Credit Memo",,,"Carmen Montalvo","30-12-2025 20:59:06","11-08-2026 06:54:57","11-08-2026 06:54:25","Cannot Create Credit Memo",,"0050B000006qIImQAM","2","1","0","0","Review - active workbook row but Salesforce closed"
"Projects (Major and Minor)","23","00009440","Total Stock for specific list of parts (hang-up is vendor/last purchase price)","Dashboards/Reports/Notifications","Reports/Dashboards","Design","L","Natalie Boger","500Ro00000nrSTTIA2","Warehouse stock list transfer to SF","In progress","False","Medium","Administrative (Reports & Dashboards)","Product",,,"Gretchen Scarborough","07-01-2026 23:11:58","15-01-2026 00:22:03",,"Warehouse stock list transfer to SF",,"0050B000006qIImQAM","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","100","00009448","Mandatory Patient Data Cleared checkbox on Testing information","New/Edit Fields","Products/Assets","Not Yet Started","S","Natalie Boger","500Ro00000nw2TXIAY","Patient Data","New","False","Medium","Other","Asset2",,,"Jennifer Armstrong","08-01-2026 23:42:11","09-01-2026 08:01:38",,"Check box",,"0050B000006qIImQAM","1","0","0","0","Ready for case-level requirements analysis"
"Complete","8","00009449","Please unlock Product 10562561 in hope that I can update it and validate the materials.","Validation Rules/Access","Product","Requirement Gathering","S","Natalie Boger","500Ro00000nvp4tIAA","Validation of Product 10562561","Closed","True","Medium","Other","Product",,,"Blake Nielsen","08-01-2026 23:49:53","11-08-2026 07:00:01","11-08-2026 07:00:01","Please unlock Product 10562561 in hope that I can update it and validate the materials.",,"0050B000006qIImQAM","3","2","0","0","Exclude - complete in workbook and Salesforce"
"Projects (Major and Minor)","101","00009450","Add ""Order Cancelled"" and ""No Longer Needed"" on the unqualified drop down menu","New/Edit Fields","Leads","Not Yet Started","S","Natalie Boger","500Ro00000nwsaAIAQ","Unqualified Drop-down menu","New","False","Medium","Salesforce Improvement","Lead",,,"Julie Nickerson","09-01-2026 03:12:38","09-01-2026 08:06:42",,"Please add to the unqualified drop down menu: Order Cancelled or No Longer Needed.",,"0050B000006qIImQAM","1","0","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","105","00009455","I want to get a notification when the financial info fields on my sales opp's are updated, the payment status and confirmation fields","Email Alerts","Opportunities","Not Yet Started","S","Sacha Pearce","500Ro00000o0YCzIAM","Notification - Financial Information","New","False","Medium","Other","OTHER",,,"Ben Rice","10-01-2026 00:31:40","26-03-2026 22:09:08",,"I want to get a notification when the financial info fields on my sales opp's are updated, the payment status and confirmation fields",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","4","00009472","Need higher level access for pandadoc, import leads from trade shows, add lead source/trade show lead source options; lean flows/assignment rules, etc.","Validation Rules/Access","Many","?","JDI","Lisa Litviak","500Ro00000oCmQmIAK","Request for more access","Claimed","False","Medium","Other","User",,,"Lauren Fitzgerald","14-01-2026 01:20:02","27-03-2026 02:32:04",,"Hi, I need a higher level of access within Salesforce. I would like to be able to see the pandadoc section on opps within salesforce ( I have direct pandadoc access) and I will need to be able to import leads from trade shows in the near future. Also, I would like to be able to add lead source and trade show lead source options myself for marketing, if possible so it would be nice to have access to edit objects. I would also like to be able to see the lead flows and lead assignment rules in case issues arise in the future. I would not make edits, of course, without discussing with whoever all is involved in those changes but I would at least like to be able to see how things operate because I am an admin on our websites and in Pardot and sometimes issues happen that would be helpful for me to have more access in Salesforce as well. 

Thank you!
-Lauren",,"005Ro000007qBJVIA2","2","1","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","28","00009479","2159-3504 - Not Updating Usage as we have recent movement and historical requests on closed won opportunities. The product page is not updating usage or driving parts priority ratings correctly. Can we assess why this is not driving our numbers. - See attached image","BUG","Asset","Design","UPGRADE","Natalie Boger","500Ro00000oHHVvIAO","2159-3504 - Not Updating Usage","In progress","False","Medium","Other","Product",,,"Blake Nielsen","14-01-2026 23:47:53","11-08-2026 07:00:42",,"2159-3504 - Not Updating Usage as we have recent movement and historical requests on closed won opportunities. The product page is not updating usage or driving parts priority ratings correctly.  Can we assess why this is not driving our numbers. - See attached image",,"0050B000006qIImQAM","4","1","0","1","Ready for case-level requirements analysis"
"Errors & Just do its","29","00009489","Sold items appearing in inventory. Shows up in reports & inventory when it shouldn't. People trying to quote what doesn't exist. Example(241550 & 241551)","BUG","Asset","N/A","N/A","Natalie Boger","500Ro00000oOnsTIAS","Sold items appearing in inventory","Claimed","False","Medium","Administrative (Reports & Dashboards)","Asset2",,,"Josh Sutton","16-01-2026 18:11:44","11-08-2026 07:06:51",,"Sold items appearing in inventory",,"0050B000006qIImQAM","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","102","00009514","Auto designating Big Iron and Ultrasound System purchases from designated for sales to Undesignated or Blank","New/Edit Workflows","Opportunities, Products/Assets","Not Yet Started","S","Mindy Bender","500Ro00000okAyrIAE","Auto designating assets","Claimed","False","Medium","Salesforce Improvement","Opportunity",,,"Darren Stokes","21-01-2026 21:21:43","11-07-2026 00:27:35",,"Can we please change all big iron purchases and ultrasound system purchases from designated for ""Sales"" to either ""Undesignated"" or blank",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","21","00009516","Improvements for Endoscopy Evals & Test","New/Edit Workflows, New/Edit Fields","Repair/Eval","Build/Unit Testing","L","Natalie Boger","500Ro00000op7vaIAA","Improvements needed for endoscopy evals and tests","In progress","False","Medium","Salesforce Improvement","Evaluation",,,"Natalie Boger","22-01-2026 11:55:12","22-01-2026 11:55:12",,"Several issues (Yasmina sent through emails)",,"0050B000006qIImQAM","1","0","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","5","00009522","Please adjust the permissions for Gina to not be able to close win an opportunity without the asset having been purchased approved.","Validation Rules/Access","Opportunities","?","JDI","Lisa Litviak","500Ro00000oyDNOIA2","Adjust Permissions","New","False","Medium","Other","Permission(s)/Permission Set",,,"Kris Nelson","23-01-2026 23:57:15","27-03-2026 02:08:02",,"Please adjust the permissions for Gina to not be able to close win an opportunity without the asset having been purchased approved.",,"005Ro000007qBJVIA2","1","0","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","53","00009534","The new Material Transfer record type that was created has one change from the previous. When the assets are received at the destination location they are being unreserved and it looks as though the assets are available. We noticed this on system opps where the probe assets need to stay reserved which is how it was set up on the inter-company transfers.","BUG","Material Transfer","?","?","Sacha Pearce","500Ro00000pGKbmIAG","Material Transfer Un-reserves Asset","Claimed","False","Medium","Salesforce Improvement","Asset2",,,"Dustin Newton","27-01-2026 23:39:24","27-03-2026 02:55:54",,"The new Material Transfer record type that was created has one change from the previous. When the assets are received at the destination location they are being unreserved and it looks as though the assets are available. We noticed this on system opps where the probe assets need to stay reserved which is how it was set up on the inter-company transfers.",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","28","00009536","Send recalls/corrections/end of life emails to customers through SF","New Objects, New/Edit Workflows, New/Edit Fields","Products/Assets","Not Yet Started","L","Mindy Bender","500Ro00000pGoV0IAK","Quality Alerts","Claimed","False","Medium","Salesforce Improvement","Opportunity",,,"Jennifer Armstrong","28-01-2026 00:57:50","11-07-2026 00:27:35",,"to be able to send recalls/corrections/end of life emails to customers through SF",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","6","00009542","Needing to be able to add confirmation lines for online orders","Validation Rules/Access","Opportunties","?","JDI","Lisa Litviak","500Ro00000pNKSAIA4","Confirmation lines","Claimed","False","Medium","Other","Permission(s)/Permission Set",,,"Kaley Ehrig","29-01-2026 00:19:03","27-03-2026 02:30:25",,"Needing to be able to add confirmation lines for online orders",,"005Ro000007qBJVIA2","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","42","00009558","Exchange RMA Opps - Create X qty based on PO with exchange item","New/Edit Workflows","Opportunities","Design","M","Mindy Bender","500Ro00000paE2JIAU","Exchange RMA OPPS","On Hold","False","Medium","Salesforce Improvement","Opportunity",,"Other","Gretchen Scarborough","30-01-2026 23:26:46","15-04-2026 22:24:34",,"When a PO is made with an exchange item  it automatically makes an Exchange OPP - can a program be made to automatically make exchange opps for all items on that po. Example if i order 5 of a part only 1 exchange opp is made and i need to have 5.",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","56","00009580","Ability to see shipment price once ships; tracking and price pulled from carrier website","New/Edit Workflows, New/Edit Fields","Shipments/Zenkraft","Not Yet Started","M","Mindy Bender","500Ro00000pyIfyIAE","Ability to see shipment price once ships","Claimed","False","Medium","Salesforce Improvement","OTHER",,,"Justin Wilson","05-02-2026 01:59:44","11-07-2026 00:27:35",,"Zenkraft is tied to salesforce for quoting, need to know if when we ship it the tracking and price is pullled from carrier website to salesforce",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","43","00009584","When a pricing/sourcing request is fulfilled by parts dept, an automated email goes to the Ultrasound coordinators inbox., however we seem to get them for a lot of things we haven't requested, such as requests from Probo France. AND is there a way to have the automated emails for pricing/sourcing not requested by the Ultrasound dept sent to the people who have requested them please?","Email Alerts","Opportunity, pricing request, etc.","Design","M","Mindy Bender","500Ro00000q2KPzIAM","Pricing request fulfilment emails","Claimed","False","Medium","Other","OTHER",,,"Katy Base","05-02-2026 15:00:02","11-07-2026 00:25:57",,"When a pricing/sourcing request is fulfilled by parts dept, an automated email goes to the Ultrasound coordinators inbox., however we seem to get them for a lot of things we haven't requested, such as requests from Probo France.",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","31","00009589","SA removed from Gant when SRI completed","BUG","Service Appointment","?","BUG","Sacha Pearce","500Ro00000q8PwBIAU","SA removed from Gant when SRI completed","New","False","Medium","Administrative (Reports & Dashboards)","Work Order",,,"Trudy Gregory","06-02-2026 14:39:13","14-08-2026 15:27:50",,"SA-17132 was booked and on Gant for Dave Milne to attend Monday 09/02/2026.  I also needed to source a button kit to send to the customer.  This arrived yesterday and SRI-00015817 was completed.  This has taken the SA off the Gant and back to internal",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","90","00009597","Stop people being able to close win an inventory purchase opp (sourcing or inventory purchases) without an item receipt. All inventory opps should be item receipted as this is what gives assets their cost","New/Edit Workflows, Validation Rules/Access","Opportunities","Requirement Gathering","S","Mindy Bender","500Ro00000qJgupIAC","Stop people being able to close win an inventory purchase opp without an item receipt","Claimed","False","Medium","Salesforce Improvement","Opportunity",,,"James Bevan-Jones","09-02-2026 22:35:07","11-07-2026 00:27:35",,"Stop people being able to close win an inventory purchase opp (sourcing or inventory purchases) without an item receipt. All inventory opps should be item receipted as this is what gives assets their cost",,"005Ro00000DkR8zIAF","3","2","0","0","Ready for case-level requirements analysis"
"Errors & Just do its","32","00009601","Customer received in chrome message, not PDF","BUG","Invoices","?","BUG","Sacha Pearce","500Ro00000qLT64IAG","Invoice I-128167","In progress","False","Medium","Salesforce Error","Invoice",,,"Carmen Montalvo","10-02-2026 02:29:46","27-03-2026 01:23:03",,"customer received in Chrome message",,"0055b00000REnyEAAT","2","1","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","73","00009611","Need to add ""Customer Not Available"" to show; Currently leaves the report blank - see SA-17573 - needs to populate something so it doesnt look like we have missed the signature by mistake","New/Edit Workflows, New/Edit Fields","Service Appointment","Not Yet Started","S/M","Sacha Pearce","500Ro00000qUONBIA4","Can we add ""Customer Not Available"" if engineer selects this in the customer signature section","New","False","Medium","Salesforce Improvement","Field Service Lightning",,,"Tom Meredith","11-02-2026 15:20:28","18-02-2026 19:12:47",,"Currently leaves the report blank - see SA-17573 - needs to populate something so it doesnt look like we have missed the signature by mistake",,"0055b00000REnyEAAT","1","0","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","24","00009614","AvaTax Errors out on Opportunities with a lot of lines","New/Edit Workflows","Opportunities","Design","L","Mindy Bender","500Ro00000qV8TDIA0","AvaTax error for lines over 181","On Hold","False","Medium","Salesforce Improvement","AvaTax",,,"Krystie Green","11-02-2026 19:04:02","22-04-2026 20:07:25",,"we need to partner with AvaTax to identify a long term solution that allows a single opp with 1 inv. Asking SalesOps/Steve to go back & break a single opp into several is not practical from an operational standpoint",,"005Ro00000DkR8zIAF","4","3","0","0","Ready for case-level requirements analysis"
"Projects (Major and Minor)","91","00009620","Probe Repair Pricing - Universal Repair Activity Addition; Please add a ""Loaner Rental Fee"" to the product for ultrasound probes. This would look just like a repair activity","New/Edit Workflows, New/Edit Fields","Repair/Eval","Requirement Gathering","S",,"500Ro00000qWi3GIAS","Probe Repair Pricing - Universal Repair Activity Addition","On Hold","False","Medium","Other","Product",,,"Matt Mooney","12-02-2026 00:45:12","22-04-2026 02:48:36",,"Please add a ""Loaner Rental Fee"" to the product for ultrasound probes.  This would look just like a repair activity",,,"2","1","0","0","Ready for case-level requirements analysis"
